gen,batch,idx,kind,kept,score,d_db,beam,eta,s11_worst,copper,peak_x,peak_y,npy,png
4,1,13,kid,0,7.543488,14.0215,0.6842,0.9867,-13.3885,185,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid013.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid013.png
4,1,14,kid,0,7.541496,13.8316,0.6835,0.9853,-15.6767,193,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid014.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid014.png
4,1,15,kid,0,7.404427,13.8180,0.6833,0.9547,-8.9446,202,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid015.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid015.png
4,1,16,kid,0,7.511662,13.6954,0.6824,0.9786,-9.6977,198,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid016.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid016.png
4,1,17,kid,0,7.499391,13.4498,0.6808,0.9758,-11.4380,192,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid017.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid017.png
5,1,1,kid,0,0.026777,13.3039,0.6815,0.7582,-5.5562,63,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid001.png
5,1,2,kid,0,7.233067,13.2403,0.6810,0.9173,-7.4112,126,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid002.png
5,1,3,kid,0,-2.471227,13.2381,0.6815,0.7802,-5.1276,56,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid003.png
5,1,4,kid,0,-20.979946,13.6297,0.6830,0.9002,-8.0659,5,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid004.png
5,1,5,kid,0,7.358630,13.5771,0.6836,0.9445,-6.7515,142,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g005_b001_kid005.png
